date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-12-04,3989.05,4032.99,4018.86,3982.32,1026472.19,20.72,0.52,4026.534,4083.449,4089.767,1069258.43,1353917.56,1392835.1
2017-12-01,4003.56,4027.11,3998.14,3984.38,973869.12,-7.96,-0.2,4032.752,4095.946,4089.869,1150874.51,1388717.61,1402552.07
2017-11-30,4034.01,4052.8,4006.1,3988.0,1079833.5,-47.65,-1.18,4053.964,4108.217,4089.597,1217816.76,1483114.82,1418560.83
2017-11-29,4061.35,4069.24,4053.75,4004.69,1245536.38,-2.07,-0.05,4073.224,4118.108,4089.148,1358144.51,1496515.88,1427619.45
2017-11-28,4034.21,4056.48,4055.82,4010.3,1020580.94,5.87,0.14,4107.988,4120.1,4086.292,1481991.24,1492597.94,1430551.32
2017-11-27,4088.93,4088.93,4049.95,4037.15,1434552.62,-54.25,-1.32,4140.364,4124.453,4083.837,1638576.7,1533776.79,1434111.66
2017-11-24,4089.47,4116.59,4104.2,4057.49,1308580.38,1.8,0.04,4159.14,4132.265,4081.825,1626560.7,1541767.84,1441077.82
2017-11-23,4213.38,4214.19,4102.4,4086.9,1781472.25,-125.17,-2.96,4162.47,4133.036,4077.714,1748412.87,1552726.96,1438985.23
2017-11-22,4228.37,4260.64,4227.57,4191.15,1864770.0,9.87,0.23,4162.992,4130.386,4072.273,1634887.25,1495636.07,1414859.35
2017-11-21,4131.85,4220.26,4217.7,4129.98,1803508.25,73.87,1.78,4132.212,4112.43,4059.742,1503204.65,1459986.8,1365723.58
2017-11-20,4093.73,4144.51,4143.83,4060.96,1374472.62,22.98,0.56,4108.542,4096.085,4046.827,1428976.87,1431752.64,1322077.24
2017-11-17,4094.08,4122.38,4120.85,4081.37,1917841.25,15.84,0.39,4105.39,4083.791,4036.175,1456974.97,1416386.54,1294096.1
2017-11-16,4063.49,4107.62,4105.01,4062.27,1213844.12,31.34,0.77,4103.602,4070.976,4026.475,1357041.05,1354006.85,1234694.13
2017-11-15,4084.21,4102.81,4073.67,4055.72,1206357.0,-25.68,-0.63,4097.78,4060.188,4017.787,1356384.9,1358723.01,1227265.55
2017-11-14,4129.27,4133.55,4099.35,4086.89,1432369.38,-28.72,-0.7,4092.648,4052.483,4011.312,1416768.95,1368504.69,1217432.62
2017-11-13,4115.55,4137.65,4128.07,4115.55,1514463.12,16.16,0.39,4083.628,4043.22,4001.998,1434528.4,1334446.52,1186934.76
2017-11-10,4070.28,4116.71,4111.91,4067.66,1418171.62,36.01,0.88,4062.192,4031.385,3991.267,1375798.1,1340387.81,1171889.13
2017-11-09,4043.07,4076.61,4075.9,4038.4,1210563.38,27.89,0.69,4038.35,4022.391,3981.721,1350972.65,1325243.5,1146051.58
2017-11-08,4051.49,4089.15,4048.01,4040.58,1508277.25,-6.24,-0.15,4022.596,4014.159,3973.574,1361061.12,1334082.62,1132693.87
2017-11-07,4022.4,4064.22,4054.25,4021.36,1521166.62,33.36,0.83,4012.318,4007.053,3966.308,1320240.42,1271460.36,1109489.08
2017-11-06,3989.18,4021.64,4020.89,3975.41,1220811.62,28.19,0.71,4002.812,3997.568,3958.088,1234364.65,1212401.85,1089697.05
2017-11-03,3992.35,3999.34,3992.7,3963.03,1294044.38,-4.43,-0.11,4000.578,3988.559,3951.154,1304977.53,1171805.67,1096424.39
2017-11-02,3994.09,3999.23,3997.13,3971.38,1261005.75,0.51,0.01,4006.432,3981.974,3943.344,1299514.35,1115381.41,1078375.18
2017-11-01,4007.91,4032.46,3996.62,3991.32,1304173.75,-10.1,-0.25,4005.722,3975.386,3934.615,1307104.12,1095808.09,1062096.93
2017-10-31,3995.39,4009.28,4006.72,3983.26,1091787.75,-3.0,-0.07,4001.788,3970.14,3925.844,1222680.29,1066360.56,1039716.15
2017-10-30,4022.16,4033.34,4009.72,3960.27,1573876.0,-12.25,-0.3,3992.324,3960.775,3916.547,1190439.05,1039423.01,1026061.47
2017-10-27,3992.55,4024.46,4021.97,3991.35,1266728.5,28.39,0.71,3976.54,3951.148,3906.95,1038633.81,1003390.44,999342.15
